videoTitle,videoCategoryId,videoViews,videoLikes,videoDislikes,videoCommentCount,channelViewCount,channelSubsCount,channelVideoCount,dayDifference,publishedZTimeFloat,publishedDayOfWeek,ageOfChannelDays,videoDurationSeconds,numberOfVideoTags
My Experience With The Police,24,2036050,222587,30738,27190,1469323965,6600000,327,5,0.338888889,7,3331,636,0
Carine - Les histoires bizarres du professeur Zarbi,23,208399,12325,249,1012,228104533,671000,326,7,17.43583333,5,3808,702,20
Stuntmen React To Bad & Great Hollywood Stunts 15,24,1418033,69609,655,6303,651398039,3930000,795,5,16.65638889,7,3401,1044,12
12 MIN HAPPY SWEAT WORKOUT - good mood HIIT workout / No Equipment I Pamela Reif,17,1418152,35601,422,1354,341240790,3680000,52,6,5.503055556,6,2460,728,54
Casually Explained: Working From Home,23,1134834,104639,726,3396,261810952,2860000,73,7,18.655,5,1648,287,14
Les vies multiples de Freddy !,24,674432,56528,457,1124,38285055,1030000,31,6,15.00388889,6,366,905,0
[TWICE - MORE & MORE] Comeback Stage | M COUNTDOWN 200604 EP.668,24,8150668,515387,13818,23191,8906504292,13800000,19867,7,11.35638889,5,5208,267,11
How THIS wallpaper kills your phone.,28,3839939,300079,3745,21208,685999713,4200000,1283,7,12.62833333,5,3340,625,6
Mac & Cheese | Basics with Babish,24,2926225,117739,894,6545,1329623100,7090000,308,7,13.00166667,5,5043,720,25
PE With Joe | Monday 8th June,17,425451,20082,603,446,183497871,2470000,421,3,8.769722222,2,3226,2409,0
I moved out,24,814917,70800,947,3032,510338373,3410000,271,5,18.39444444,7,2972,602,13
UNPLANNED FILM,1,58538,11390,41,886,24676382,462000,112,4,16.74777778,1,2352,48,13
Hunted,1,73679,12567,133,1343,59013760,760000,157,5,18.00305556,7,4584,205,11
"I Bought the WORLD'S BIGGEST Football on eBay! Play Like Messi, Ronaldo & Pogba",17,265614,16897,261,2778,191460493,1390000,279,5,16.64888889,7,2925,1068,16
Noizy x MatoLale - Adrenaline (Official Video 4K),24,2586473,79827,3521,5745,899349355,1070000,171,6,15.00277778,6,3572,164,19
Officer knocked off horse during clash with BLM protesters in London,24,549714,3200,1078,5247,1028559220,2410000,13554,5,17.16083333,7,5113,161,35
"WILFRIED ZAHA ENTERS THE LOCKER ROOM - Palace, Man United, Social Media, Neymar, Ivory Coast",24,67902,1943,14,233,137147856,619000,356,5,11.00111111,7,4070,1700,34
Newcastle United 2 Liverpool 0 | 2012 | Full 90 Minutes,17,32626,379,13,77,11130137,87400,402,5,13.76555556,7,3276,8087,4
Vintage Kitchen Scale Restoration - The Masterpiece,27,776056,47500,525,3801,138476633,1430000,30,5,9.980555556,7,671,1584,33
YALGAAR - CARRYMINATI X Wily Frenzy,10,80022620,10141744,256263,1251097,1438979029,21600000,170,6,17.03722222,6,2051,195,9
Madeleine McCann suspect: police investigate disappearance of two other children - BBC News,25,435030,3638,553,2853,1881203975,7710000,11673,5,21.64777778,7,5178,153,28
The Lock Down Buddy,23,230842,24174,284,3757,91870328,444000,71,5,18.00111111,7,4496,315,0
Iconic Premier League goals which VAR would have CHANGED!,17,379355,6654,171,1345,928018217,2070000,3138,5,9.000833333,7,1802,293,26
TRAINING | 11 V 11 GAME AT TOTTENHAM HOTSPUR STADIUM,17,539676,13274,375,1704,236888092,1140000,1746,6,18.21444444,6,3177,390,5
"Kevin Hart, Ludacris and Tyrese Speak Out After George Floyd's Memorial (Exclusive)",24,1802067,27850,1848,4966,2781526856,3140000,29124,6,17.00166667,6,5034,193,23
(#HarlemSpartans) MizOrMac - Return Of The Mac [AUDIO] | Slammer Media,10,179133,7745,198,1276,9288964,22200,464,6,1.769166667,6,833,239,55
Having To Eat Dinner In 4 Minutes | Friday Night Dinner,23,174954,3246,45,409,64199810,101000,245,6,12.00416667,6,652,170,29
Protests aren't what they look like on TV,25,875058,50546,4099,3645,1994398892,8250000,1164,6,23.90527778,6,2291,333,36
......,22,3371419,164082,8015,15428,48344022,883000,54,8,17.91333333,4,1577,726,0
Why Timo Werner changed his mind to join Chelsea instead of Liverpool | ESPN FC,17,359452,6561,173,1796,367546065,641000,4726,6,18.19972222,6,737,570,30
The Paddy Power Golf Shootout - LIVE!,17,60393,263,23,52,48164589,0,573,6,13.79277778,6,4319,9726,0
"No Justice, No Peace.",24,668871,78987,2987,4587,513207909,8320000,102,3,3.753055556,2,909,162,38
PLAYING FORTNITE WITH TIKTOKERS & YOUTUBERS,22,3363396,422599,4426,34000,484471317,5180000,94,6,22.83277778,6,3220,881,29
Skip and Shannon react to Jake Fromm's leaked text messages on 'elite white people' | UNDISPUTED,17,863457,14164,1181,5746,1150278814,1670000,3960,6,15.69861111,6,1394,830,32
Whoever Customizes The Best Face Mask in 30 Minutes WINS!,17,252422,16359,315,1277,19674488,333000,87,5,20.09611111,7,1564,602,7
"US closes in on 110,000 coronavirus deaths, begins to reopen l GMA",24,1198689,4620,3098,5004,889896985,1710000,12348,4,14.33694444,1,1751,196,16
Skip and Shannon react to Drew Brees' comments about protesting during national anthem | UNDISPUTED,17,1824165,34678,7015,14601,1150278814,1670000,3960,7,17.83916667,5,1394,1244,35
Massive 3-Alarm Fire Erupts At Amazon Distribution Center In Redlands,25,1136065,7931,482,5503,414167721,475000,49703,6,18.74333333,6,2381,141,4
Trey Songz - 2020 Riots: How Many Times,10,559888,26887,777,1857,1991436483,4010000,273,6,14.00277778,6,4871,205,13
My Dog Tries to Get In the Tub With Me,15,1413736,58938,763,3519,302724943,1960000,143,6,17.14666667,6,698,127,19
Machine Gun Kelly - Killing in the Name (Rage Against the Machine cover),10,2950493,170337,12388,12982,889258392,6150000,206,7,17.47194444,5,4915,228,4
How to Clean Everything in your Bathroom!,26,261342,8798,159,778,210048444,1520000,628,6,23.46083333,6,4457,607,20
WE CAN'T BELIEVE THIS HAPPENED,24,965634,39082,993,6747,47450965,606000,203,5,0.9725,7,1652,898,24
I Found the WORLD'S BEST MARKER - I Tried them ALL...,24,1018158,66318,682,29482,915910214,5180000,1106,6,13.00638889,6,2998,1002,39
WEAPONIZED CYBERTRUCK!,28,1608555,68773,1882,7606,765197461,8890000,639,5,15.00972222,7,5166,786,29
"A message to Karuna Satori, and everybody else",22,254056,14288,685,2563,93415968,279000,2300,6,18.60972222,6,1793,510,0
How To Make Mashed Potatoes,26,1199599,93331,3508,9731,2593009766,14700000,525,6,18.54416667,6,3108,168,12
"UPDATE, Must Watch",22,1473997,67897,10108,18579,50524659,610000,109,7,20.02527778,5,1205,839,4
Live: Demonstrators Gather for George Floyd Protests Across the Country | NBC News,25,1422603,9653,2160,652,1677292940,3450000,24337,4,11.07027778,1,5076,42901,0
Makers Test 7 DIY Life Hacks,26,347247,17934,248,1989,68566178,740000,150,6,15.47583333,6,2570,1299,32
How Tyler Perry Gave Back to George Floyd's Family Ahead of Memorial Service,24,1802846,24412,1457,4310,2781526856,3140000,29124,6,19.00333333,6,5034,153,26
We Cannot Stay Silent About George Floyd | Patriot Act Digital Exclusive | Netflix,22,3879351,303723,13109,25971,153490852,1190000,119,7,3.883888889,5,601,723,36
What Black Lives Matter Protests are really about,22,1234865,111144,9164,9999,2823136017,12100000,1032,7,23.73416667,5,3769,512,0
Unidentified Law Enforcement Officers Are Mysteriously Showing Up at D.C. Protests,25,621776,15032,2518,6137,1553387768,5460000,4741,6,15.65833333,6,2395,250,23
"Buffalo Police Officers Shove 75-Year-Old Protestor, 57 Officers Resign After Incident",25,710287,7071,1306,11216,85231451,174000,3548,6,21.67305556,6,3055,114,9
Reacting to KSI Reacting to My Review,10,1756279,115043,1570,6750,224411758,1100000,798,6,1.482777778,6,1120,1516,16
Greg Jennings explains why Drew Brees' comments were a disappointment to many | FIRST THINGS FIRST,17,336968,8124,658,1891,280309412,448000,2894,7,15.29666667,5,1032,784,35
Live Sandy - Especial Dia dos Namorados,10,1407760,82886,1195,1069,25554186,991000,41,0,1.459722222,6,4627,7911,0
Avengers Endgame : The Worst Movie?,20,2184639,203276,5051,10762,2600644483,6250000,647,6,19.50027778,7,3522,261,7
"Marbula E Race 3 ""Jakarta"" - Marble Race by Jelle's Marble Runs & Formula E",24,890354,30891,609,3594,79720644,1140000,172,6,10.00416667,7,570,853,16
We Broke Up.,24,282836,20116,395,4825,38812667,544000,99,6,18.83333333,7,2698,458,0
Police. Protesters. People:  Jocko Willink,22,1553366,126813,3154,13239,89926096,828000,682,6,2.254444444,7,1629,536,4
A Day in the Life of an 11 Day Sail!,22,200145,6980,169,380,977894,34400,6,6,13.10916667,7,2576,725,16
Abandoned dog was starving..... for love and attention!!!,15,555124,37471,275,2236,1163284459,4850000,468,6,16.02138889,7,5020,539,4
The most special training session... (back to Camp Nou),17,671445,34872,379,1352,1271721445,9410000,8611,5,10.07972222,1,5240,341,38
GOOGLE TRANSLATE ACRO GYMNASTICS CHALLENGE!,24,762122,38867,651,6023,893176732,6920000,244,6,15.50111111,7,3061,702,16
Explaining the Pandemic to my Past Self Part 2,23,3493540,244396,7762,10426,27936444,357000,122,8,12.98305556,5,3175,280,4
100 LAYERS OF ROCKS (DANGER ALERT) UNBREAKABLE WALL,23,942730,65521,1135,8726,480864440,3930000,194,6,21.00138889,7,1396,1104,7
Alone Again,22,497654,20899,388,1893,214337080,1380000,404,7,21.9975,6,2608,2393,36
UFC 250: Post-fight Press Conference,17,471640,6088,354,701,2955933933,9380000,8791,5,6.981388889,1,5214,4418,19
I Turn a Large Rusty Nail into a Beautiful little Sword,26,9521237,486570,10785,31080,315193001,3590000,87,7,15.00861111,6,3111,572,0
RENCONTRE AVEC MIKE HORN,24,1031865,126470,471,5263,332460937,3000000,273,5,8.500555556,1,4055,1160,6
Massive Justice for George Floyd protests in DC,25,141562,1119,530,465,29837900,46200,17694,6,23.30666667,7,3144,18739,0
This project was a disaster.,22,578187,29072,804,2612,14022696,345000,20,7,20.93527778,6,1568,1272,13
450SX Main Event Highlights - Round 13 Salt Lake City,17,157954,1798,37,116,88629538,304000,3682,4,3.104722222,2,3096,186,0
VAN LIFE BUILD: Unique Bed Design for Tiny House,19,318814,17237,909,1780,52588001,569000,282,5,13.00361111,1,2281,1456,22
Building & Riding a Gnarly Backyard Rock Garden,17,769624,46277,266,2704,442080135,1920000,376,7,13.0025,6,1960,633,12
Rising threat from the seas | DW Documentary,27,337285,3784,319,847,211642237,1610000,570,6,18.00555556,7,1298,2546,13
Stunning and Complex Roofing Installation Ep.78,27,133441,6560,90,802,84027991,738000,328,6,12.50166667,7,1622,1645,38
Reflecting on the Color of My Skin,28,4508799,513964,17819,42807,1906594736,11200000,1239,8,21.19472222,5,4466,627,3
Bride Shows Her Dream Dress But Mum Gives Her The Silent Treatment | Say Yes To The Dress Atlanta,24,433170,7701,177,890,653143545,1070000,427,4,14.60333333,2,717,394,16
PE With Joe | Tuesday 9th June,17,380370,10284,381,653,184657940,2470000,424,3,8.649444444,3,3227,2318,0
Live Stream Gig,23,87103,7973,43,383,74004978,680000,74,5,22.32611111,1,5183,4349,0
JK Rowling's Anti-Trans Tweets | Trans Guy Reacts,22,176994,25303,1000,3991,48902306,440000,430,5,18.00138889,1,3195,578,15
Doctor Who: LOCKDOWN | The Best of Days,24,80691,5191,104,478,1689459,29100,55,5,16.00361111,1,78,322,7
Multiple Knockout of the Year contenders! | Top Five Finishes from #UFC250,17,206768,2635,53,256,1317442503,2790000,5797,5,19.00055556,1,2718,209,25
ASKING MY LIL BRO QUESTIONS GIRLS ARE TOO AFRAID TO ASK GUYS! | Syd and Ell,1,153233,9355,71,246,43848493,262000,410,5,9.003333333,1,1235,971,33
Bad Romance (Medieval Style Cover),10,2492141,259315,1042,9146,7006287,320000,4,9,16.00722222,4,5087,251,9
My MUM Asks Me Questions YOUR PARENTS Are Too Afraid To Ask YOU!,24,555592,34994,359,1782,199028834,1190000,468,5,9.001944444,1,2357,885,0
Carmen de la Salciua - Cat de naiva ma crezi [videoclip oficial] 2020,10,2359116,60437,2146,1477,3001857329,3220000,1099,6,10.00277778,7,3227,213,1
Van De Beek Wants United Move! Man Utd Transfer News,24,110844,4154,141,406,306119058,705000,4375,4,9.5025,2,2137,1641,24
A Day In The Life of Eddie Hall (Worlds Strongest Man) | Training and Eating to Fight The Mountain,24,93354,6051,75,947,65993670,670000,296,5,10.66444444,1,3384,1458,22
"Virtual Pub Quiz, Saturday Night 6th of June Live Stream",24,85999,377,25,23,8045924,192000,77,6,20.49666667,7,80,6150,0
Ferrari 488 Pista vs McLaren 720S  vs Lamborghini Aventador SV: DRAG RACE!,2,2195000,84662,1264,7140,1161167143,4020000,1226,6,8.055833333,7,2353,602,29
Van De Beek Transfer Close! Man Utd Transfer News,24,120855,4130,171,561,305975643,705000,4375,5,10.11111111,1,2137,1985,24
Ex-Minneapolis police officer Chauvin was in talks to plead guilty before arrest,25,350111,2388,279,2086,23943106,36100,1440,2,18.29611111,4,2240,148,19
PS5 - The Future of Gaming,20,7627484,177936,6923,14839,2759308789,10800000,12910,4,22.37722222,2,5292,16,23
SE ACABO - TRAILER OFICIAL | KATIE ANGEL,10,1795428,178667,4051,20152,1874886813,13400000,375,5,21.00277778,1,1851,61,16
I Restored This  Yellowed & Broken PSone - Retro Playstation Console Restoration,27,2245387,53049,1575,4028,125300425,1210000,86,6,19.28777778,7,1115,1291,38
WE JUST FOUND THIS OUT...,22,4051785,279937,4061,22786,3757332571,18600000,536,6,21.94861111,7,1615,1111,11
We Bought Each Other Lock-Down Mystery Boxes!,23,927715,80729,1387,8416,1981143711,7310000,872,7,19.83333333,6,3229,1440,32
"Deputy killed, 2 officers injured after being ambushed in California, sheriff says",25,1005674,8440,1455,16998,48713848,99700,6436,5,3.836944444,1,2379,625,15
Half in the Bag: The Assistant and The Wrong Missy,24,814992,31727,825,3570,587676692,1180000,619,7,22.94611111,6,4640,2590,13
"I'll no longer be working with Nintendo, here's why.",20,1588088,102193,3822,18396,130462473,985000,667,7,17.51694444,6,2582,1659,9
POST MALONE Better at GUITAR Than ME!?,24,664853,58304,2323,4234,308951782,2040000,243,5,0.0975,1,4540,645,38
SpongeBob Anime Trailer,1,1246398,144839,1183,11833,121890735,1020000,45,6,0.252777778,7,2135,62,13
"Sturgill Simpson: Live At The Ryman Auditorium, Nashville, TN 6/5/20",10,357808,8599,140,500,34994286,125000,31,6,1.096666667,7,2810,3806,12
The Economics of Nuclear Energy,28,845468,37749,1558,4687,186262671,2520000,107,6,14.00194444,7,2465,971,6
Sleepy Hallow ft. Sheff G  - Molly  (Official Video Release),10,773476,35247,658,1335,51020956,146000,32,7,22.73,6,371,160,0
Are You Ready? | 2020 LCS Summer Split Tease,20,283937,9233,918,691,1052798023,3250000,10101,5,15.50166667,2,2816,119,25
Supercross Round 13 at Salt Lake City | 450SX EXTENDED HIGHLIGHTS | 06/07/20 | Motorsports on NBC,17,161074,2292,46,236,76451250,222000,1268,5,3.600277778,2,501,755,25
The Best Used Motorcycle to Buy - Review,2,410449,25847,180,1987,119303793,867000,256,6,15.00388889,1,1564,755,23
Parts of Ontario move to stage two on Friday as Toronto and parts of the GTA remain under lockdown,25,127495,800,395,1147,57744198,59400,4761,5,17.95083333,2,3168,308,6
"Resound Delivers Inspiring Performance Of ""What The World Needs Now"" - America's Got Talent 2020",24,963756,28693,344,1312,3491075860,16100000,2311,5,17.36777778,2,5098,211,26
Brave Mama Dog Asks Strangers To Save Her Babies | The Dodo,15,5366413,150793,1140,6582,3291998033,6480000,5519,7,20.00027778,7,2276,189,25
Can you Cut and Sand at the Same Time? Interesting Results...,26,779302,21421,413,1142,169218470,866000,512,6,12.16833333,1,3555,353,5
Customizing Nesting Dolls,24,4016041,294042,2380,56206,1262896810,5020000,252,8,20.0025,6,3580,876,4
HEALTHY SNACKS | to meal prep for the week (super easy!),26,175271,12088,68,775,60662865,1080000,120,6,14.03527778,1,1421,801,28
Can Vegan Sushi Satisfy A Sushi Lover?,26,330536,12669,152,492,82932380,747000,528,6,15.00611111,1,810,953,27
Beyond Infinity Number Comparison,24,4336303,122214,4666,15476,486520307,1760000,81,6,11.005,1,2466,420,26
I Made a GIANT Board Game in a Water Park!,24,2204121,56296,4001,8655,664004826,3490000,179,7,15.08027778,7,544,1345,6
Why The Stock Market Is Up With 42 Million Americans Out Of Work,25,756397,10276,521,2273,580072658,1640000,14080,7,16.00777778,7,5110,656,22
The Blind Auditions: Johnny Manuel Sings 'Home' | The Voice Australia 2020,24,554348,11393,113,863,800631697,1000000,1996,6,12.00305556,1,3302,136,14
HOW TO STOP YOUR BOAT from SINKING,19,263804,5628,132,352,27239000,238000,128,6,13.0025,1,2922,1222,1
Making The Wendy's Baconator At Home | But Better,26,915764,45313,850,4292,151344358,2120000,183,6,14.00027778,1,2297,610,26
New Rule: The Blue Wall of Silence | Real Time with Bill Maher (HBO),1,1773473,37178,4282,7707,884506267,1890000,1733,7,2.956388889,7,5260,374,27
Highlights Valencia CF vs Levante UD (1-1),17,92537,1358,45,78,1361989704,5450000,33912,1,23.36388889,6,5084,90,42
PE With Joe | Wednesday 10th June,17,377295,9732,352,491,185118906,2470000,424,3,8.575555556,4,3228,1718,0
Training | The Reds step up the intensity ten days out from our return to action | Manchester United,17,736797,18108,233,910,434375027,2890000,1498,4,18.005,3,907,236,33
recreating madison beer's instagrams,24,471002,33241,285,1133,24014643,467000,37,6,11.47444444,1,2843,723,1
killing eve in under 5 minutes (parody),23,67001,11202,36,912,28034123,428000,166,5,18.00111111,2,2219,294,18
Introducing Gunjan Saxena: The Kargil Girl | Janhvi Kapoor | A Netflix Original Film | Netflix India,24,1981562,99765,2747,2809,957931162,7400000,889,4,5.5,3,1493,72,15
"216. Narrowboat canal life vs boating on the Mississippi River, USA",22,80522,5843,111,802,29555120,137000,234,5,17.46722222,2,1796,1053,28
Lewis Capaldi - Before You Go (Live From The Late Late Show with James Corden / 2020),10,331842,30104,108,1743,737909791,161000,60,5,18.00083333,2,1188,255,36
MY NEW HAIR | HAIR TRANSFORMATION AT HOME,26,418120,30215,235,1617,124501468,1860000,204,6,18.05333333,1,2322,620,0
"Clarkson, Hammond and May REUNITE in a video call",2,1012209,29748,358,1683,173124523,1370000,365,6,11.23972222,1,1367,572,9
Cody Garbrandt just nailed the greatest walk-off knockout in UFC history!,17,569773,9003,134,738,1318369910,2790000,5801,6,7.734722222,1,2719,327,12
EP#2 FIRST LOOK: Arsenal Star Aubameyang's Amazing Crib | MTV Cribs UK,24,382128,9310,97,575,592266681,1570000,3536,6,15.00027778,1,3013,263,23
Why June rainfall is critical to farm profitability & disease arrives in the wheat,22,40937,3463,12,275,1158942,34800,25,5,11.50166667,2,2420,784,0
QUARANTINE GIFT BOX SWAP WITH KACI-JAY!!,24,256464,14310,221,1533,2120155,77400,21,7,18.00083333,7,108,758,22
Solskjaer VAN DE BEEK Dilemma! Man Utd Transfer News,24,90446,3367,110,403,306365264,705000,4375,4,9.490277778,3,2138,1329,25
Our League is f****** great!,20,353501,23352,468,1176,1052798023,3250000,10101,5,13.53083333,2,2816,97,44
I am no longer vegan | Life update,27,126852,5429,9094,9419,34126811,379000,390,5,14.38333333,2,2597,632,10
THE WEIRDEST ASSUMPTIONS ABOUT ME - QUICKFIRE ASSUMPTIONS,24,813834,64234,772,1665,3143560168,8630000,1685,7,16.80888889,7,4500,780,8
Can You Guess How Much Caffeine Is In These Products? (Game),24,313317,9770,105,627,912123920,3900000,1392,4,10.00222222,3,2373,679,18
Why is YouTube recommending this video to EVERYONE...,23,632739,77521,412,4406,138771300,1520000,150,7,21.08166667,7,3044,685,32
BIGTOP BURGER: ELK,1,368248,61531,170,3384,28752036,289000,35,5,11.77361111,2,3815,174,0
The BTS Army Are Mercenaries for Change - Carpool Karaoke Bonus Clip,24,2040693,389470,1151,16661,7793625083,24000000,4139,4,5.439444444,3,4953,159,20
WE HAVE SOMETHING TO TELL YOU...,24,350727,20944,396,2313,64234915,697000,158,5,21.11805556,2,1078,804,29
My biggest video yet...,20,428537,51852,258,3417,228484339,1680000,274,6,18.75,1,3171,26,13
I Tested the Tik Tok Strawberry BUGS Hack with a Microscope,24,2056084,80674,1725,13447,1309785730,4900000,778,7,19.25,7,1720,841,20
UFC 250: Amanda Nunes vs Felicia Spencer Recap,17,423150,2139,636,444,383607487,504000,5519,6,18.04444444,1,3947,271,15
Mixing All My 1000 Oreos Into One Giant Oreo!,24,1164854,71898,1261,10430,1704108576,14100000,293,6,16.55833333,1,3565,814,1
UFC 250 recap,24,407975,17085,252,2166,7048843,129000,173,6,20.24527778,1,808,453,0
"Gorillaz | Machine Bitez #8 with 2D, Murdoc & Russel",1,152598,15667,120,982,2438659235,6460000,196,5,10.00027778,2,5328,50,0
WE BOUGHT A VAN,19,806382,36423,637,4565,223842532,1510000,729,6,15.25,1,1649,1179,28
SURPRISING MY HUSBAND TO A PREGNANCY ANNOUNCEMENT,24,149744,12471,234,1548,62376885,1360000,537,6,17.99166667,1,1285,872,21
Trying Those PolyGel Nails @ Home,24,327828,18414,308,1872,110481433,1060000,279,6,19.19305556,1,2753,606,13
I Did THIS For 30 Days...Now I Can Dunk A Basketball At 5'10!,24,1175649,65943,684,4560,745164733,3550000,2125,6,1.2825,1,2548,1698,22
Where have I been...,22,1564910,187148,4683,22129,12869355577,24200000,4613,5,16.52638889,2,4858,381,1
Drake and Josh was the weirdest show...,24,819934,54953,921,5930,272607071,2130000,204,5,18.00305556,2,1801,669,5
Coming Out. I Am Female.,10,961324,61862,9774,18526,100916381,1440000,152,7,21.00222222,7,3980,347,0
SUGAR SHOW!!! What Really Happened at UFC 250 (Sean O'Malley vs Eddie Wineland),17,711721,5488,1383,833,56988324,182000,480,6,4.045,1,3106,265,14
FLIGHT vs BRAWADIS Basketball 1v1! *JUNE MATCHUP*,22,1461576,106189,1110,13568,1135184401,4600000,1465,5,3.176111111,2,1898,859,15
TURNING WALMART INTO HIGH FASHION!,26,614733,37896,661,1622,410807927,3260000,385,6,17.57777778,1,3166,781,6
Aaron Kaufman Builds 1200 HP FERRARI TWIN TURBO F12 for DDE: Episode 1,2,1075447,43009,1240,2618,503418751,2470000,1005,7,14.00194444,7,2697,1485,28
Time to Change.,24,450448,51795,2140,2932,610134599,5520000,305,6,16.77305556,1,2343,286,7
I GOT A DIXIE DAMELIO TATTOO!!,24,213175,12108,779,569,2802033,94800,29,6,20.5,1,1816,425,26
UFC 250 Recap: Amanda Nunes pummels Felicia Spencer for wide decision win to retain | CBS Sports HQ,17,619471,1830,815,311,109084947,268000,6870,6,6.635555556,1,4713,1792,6
Jorge Masvidal discusses dispute with UFC | SportsCenter,17,985982,16330,1058,6422,341107874,684000,2065,6,2.909166667,1,584,667,29
"Joe Rogan to Sean O'Malley: ""That's the best walk-off KO I've ever seen!""",17,439312,3104,145,411,1318369910,2790000,5801,6,3.563611111,1,2719,109,13
Milling Machine Autopsy!,28,430245,22397,216,1855,125854012,836000,177,6,11.30611111,1,3566,1582,9
The Landlord (Original Animation),23,1046513,128027,739,6012,647676713,3000000,108,7,19.72833333,7,2916,189,20
Meek Mill - Otherside of America [Official Audio],10,3410040,146244,6850,9069,2117937083,4040000,152,8,14.00166667,6,3349,219,34
24 Hours of Le Mans Virtual - LIVE,2,759453,12210,346,46,20402128,123000,1849,3,9.27,6,3118,89850,0
mais comment ?!?!,24,4972193,513839,4553,22272,7633846658,14600000,1378,5,17.49138889,4,3445,726,6
organizing our new office! | Loft Vibes | Season 4 | EP2,26,264560,15449,128,619,251924591,1940000,607,4,15.315,5,3524,1098,15
Basic cooking tutorial with Boris - Part 1,26,445783,48879,185,3845,398931171,3040000,222,4,20.08527778,5,2901,511,21
Bosh - Djomb (Clip officiel),10,6195280,306918,7802,18206,39455797,26600,15,5,16.00333333,4,916,141,26
Anderson Cooper Takes Us Inside His Home And Into Baby Wyatt's Nursery | PeopleTV,24,449703,8973,364,1228,413572136,634000,9814,6,17.99805556,3,5333,244,32
"Remains found on Daybell's property are children, prosecutor says; bail set at $1 million",25,219882,2852,88,1632,33936495,47600,4391,5,18.48055556,4,3724,418,2
MISTER V - MIAMI HEAT,10,2101422,229913,2434,8548,143200427,1690000,20,5,15.99027778,4,2425,174,19
Victoria Gives Struggling Dog Shelter a $250k Makeover! | It's Me or The Dog,24,272589,14436,89,1026,177554252,695000,345,5,17.25,4,2524,719,14
HARRY POTTER Theme but played on my WASHER & DRYER,24,233929,28823,122,1520,3247288420,12900000,536,5,12.50055556,4,4626,100,8
EXPRESSIONS FACIALES (partie 1) - PAROLE DE CHAT,15,259075,29344,314,1213,376487274,1420000,133,5,10.38861111,4,3423,150,0
The 2020 Toyota Camry TRD is a Reasonably Priced Sports Sedan,2,267490,8176,195,1527,156777403,971000,396,6,12.00583333,3,2980,920,20
Le secret | Roxane Bruneau  (Single Version 2020),24,117029,9551,34,535,31044952,124000,124,7,4.003055556,2,2472,387,0
How the U.S. Stole an Island,27,292079,20412,382,1892,10619634,302000,32,6,13.89416667,3,3295,611,19
Baking 30 Year Old Cookie Mix in an Easy-Bake Oven,26,829755,56102,1434,3455,34422327,647000,60,7,19.00555556,2,3115,515,6
What JUST Happened To The Stock Market,27,401737,19893,379,2432,53844103,743000,135,7,22.25083333,2,1179,872,28
3 Baby Seals Rescued from Plastic,29,269625,14221,61,2479,35484349,146000,51,6,17.52694444,3,3130,320,35
Friends: Chandler's Most Sarcastic Moments (Mashup) | TBS,24,926481,16942,233,529,555655914,1030000,2815,7,15.99694444,2,5352,875,32
John Oliver Breaks Down What Defunding the Police Means,23,587767,9676,862,1932,13035186737,25000000,5975,6,5.026944444,3,5272,445,42
Schitt's Creek feat. Mariah Carey | Dear Class Of 2020,24,1387476,22120,191,684,424821840,0,303,8,21.05388889,1,1609,365,4
Could Solar Storms Destroy Civilization? Solar Flares & Coronal Mass Ejections,27,3473834,266877,1423,17803,1005008147,12100000,120,8,12.52611111,1,2533,583,37
Moneybagg Yo - Cold Shoulder (Official Music Video),10,2401051,73415,1566,1714,336373832,41800,27,7,19.00138889,2,1050,187,20
BTS Commencement Speech | Dear Class Of 2020,24,8060855,1753124,8640,36538,4308733062,31200000,1244,8,20.50444444,1,2737,753,3
"Transformations incroyables de youtubeur ! (Pewdiepie, Lena situation, joueur du grenier...)",17,1195735,96452,2009,3172,2222321292,7250000,742,6,16.05888889,3,4322,826,15
HOW COP ORIENTATIONS MUST BE LIKE,23,1551277,277140,3739,13347,474908879,3640000,226,8,23.21277778,1,3027,107,0
Redecorating my room for the millionth time,23,1195883,105085,801,9171,255584685,3250000,105,8,21.28222222,1,911,716,0
"Joe Rogan, Dana White react to Conor McGregor's retirement tweet | ESPN MMA",17,2099966,24185,906,3529,5908524708,7070000,30957,8,6.264166667,1,5341,295,29
New virus cases on the rise in almost half of US states,25,558107,6188,913,4809,6983484961,10000000,148567,6,0.059722222,3,5370,350,10
MIKEY & JAH Vs. FLIGHT & BRAWADIS!!!,17,559336,17350,262,1773,6711391,75200,258,8,22.09305556,1,3137,580,0
PE With Joe | Monday 15th June,17,225901,7951,219,216,185859212,2470000,425,0,8.566111111,2,3230,2030,0
PE With Joe | Friday 12th June,17,334040,8732,225,367,185859212,2470000,425,3,8.581944444,6,3230,1688,5
"Metal Stream of the Year | Megadeth, Lamb of God, Trivium & In Flames",10,289769,14612,94,937,22356753,713000,165,3,21.00277778,6,4813,14037,7
PS5 Reveal Event Livestream | Summer of Gaming 2020,20,1949581,23064,2129,285,10602243048,13600000,137889,3,0.983055556,6,5018,27561,28
Highlights Sevilla FC vs Real Betis (2-0),17,396196,4623,131,201,1369813530,5500000,33929,4,22.97694444,5,5086,91,46
PE With Joe | Thursday 11th June,17,374578,9140,316,459,185859212,2470000,425,4,8.686388889,5,3230,2356,0
Gran Turismo 7 Announcement Trailer,20,308845,13066,209,1966,40304176,215000,818,4,21.28,5,3604,188,25
